RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Surname_encoded,Generation,GeoGender,HasBalance,Active__Prod,Gen_Prod,Gen_Geo
53,788,France,Female,33.0,5,0.0,2,0.0,0.0,116978.19,0,1983,10.0,FranceFemale,N,0.0,20.0,1
54,655,Germany,Male,41.0,8,125561.97,1,0.0,0.0,164040.94,1,2115,20.0,GermanyMale,Y,0.0,20.0,9
55,601,Germany,Male,42.0,1,98495.72,1,1.0,0.0,40014.76,1,2895,20.0,GermanyMale,Y,0.0,20.0,9
56,619,France,Male,43.0,1,125211.92,1,1.0,1.0,113410.49,0,2164,20.0,FranceMale,Y,1.0,20.0,2
57,656,France,Male,45.0,5,127864.4,1,1.0,0.0,87107.57,0,2657,20.0,FranceMale,Y,0.0,20.0,2
58,725,Germany,Male,19.0,0,75888.2,1,0.0,0.0,45613.75,0,812,0.0,GermanyMale,Y,0.0,0.0,7
59,511,Spain,Female,66.0,4,0.0,1,1.0,0.0,1643.11,1,2570,40.0,SpainFemale,N,0.0,40.0,18
60,614,France,Male,51.0,4,40685.92,1,1.0,1.0,46775.28,0,2720,30.0,FranceMale,Y,1.0,30.0,3
61,742,Germany,Male,35.0,5,136857.0,1,0.0,0.0,84509.57,0,1252,10.0,GermanyMale,Y,0.0,10.0,8
62,687,Germany,Female,27.0,9,152328.88,2,0.0,0.0,126494.82,0,563,0.0,GermanyFemale,Y,0.0,0.0,7
63,555,Spain,Male,33.0,1,56084.69,2,0.0,0.0,178798.13,0,1320,10.0,SpainMale,Y,0.0,20.0,15
64,684,Spain,Male,56.0,8,78707.16,1,1.0,1.0,99398.36,0,2177,30.0,SpainMale,Y,1.0,30.0,17
65,603,Germany,Male,26.0,4,109166.37,1,1.0,1.0,92840.67,0,1312,0.0,GermanyMale,Y,1.0,0.0,7
66,751,Germany,Female,36.0,6,169831.46,2,1.0,1.0,27758.36,0,1095,10.0,GermanyFemale,Y,2.0,20.0,8
67,581,Germany,Female,34.0,1,101633.04,1,1.0,0.0,110431.51,0,338,10.0,GermanyFemale,Y,0.0,10.0,8
68,735,Germany,Male,43.0,10,123180.01,2,1.0,1.0,196673.28,0,473,20.0,GermanyMale,Y,2.0,40.0,9
69,661,Germany,Female,35.0,5,150725.53,2,0.0,1.0,113656.85,0,1010,10.0,GermanyFemale,Y,2.0,20.0,8
70,675,France,Female,21.0,8,98373.26,1,1.0,0.0,18203.0,0,2179,0.0,FranceFemale,Y,0.0,0.0,0
71,738,Germany,Male,58.0,2,133745.44,4,1.0,0.0,28373.86,1,1438,30.0,GermanyMale,Y,0.0,120.0,10
72,813,France,Male,29.0,6,0.0,1,1.0,0.0,33953.87,0,1754,0.0,FranceMale,N,0.0,0.0,0
73,657,Spain,Female,37.0,0,163607.18,1,0.0,1.0,44203.55,0,2101,10.0,SpainFemale,Y,1.0,10.0,15
74,604,Germany,Female,25.0,5,157780.84,2,1.0,1.0,58426.81,0,150,0.0,GermanyFemale,Y,2.0,0.0,7
75,519,France,Male,36.0,9,0.0,2,0.0,1.0,145562.4,0,2754,10.0,FranceMale,N,2.0,20.0,1
76,735,France,Female,21.0,1,178718.19,2,1.0,0.0,22388.0,0,428,0.0,FranceFemale,Y,0.0,0.0,0
77,664,France,Male,55.0,8,0.0,2,1.0,1.0,139161.64,0,1237,30.0,FranceMale,N,2.0,60.0,3
78,678,France,Female,32.0,9,0.0,1,1.0,1.0,148210.64,0,2243,10.0,FranceFemale,N,1.0,10.0,1
79,757,Spain,Male,33.0,5,77253.22,1,0.0,1.0,194239.63,0,380,10.0,SpainMale,Y,1.0,10.0,15
80,416,Germany,Female,41.0,10,122189.66,2,1.0,0.0,98301.61,0,2201,20.0,GermanyFemale,Y,0.0,40.0,9
81,665,France,Female,34.0,1,96645.54,2,0.0,0.0,171413.66,0,358,10.0,FranceFemale,Y,0.0,20.0,1
82,777,France,Female,32.0,2,0.0,1,1.0,0.0,136458.19,1,1541,10.0,FranceFemale,N,0.0,10.0,1
83,543,France,Female,36.0,3,0.0,2,0.0,0.0,26019.59,0,1811,10.0,FranceFemale,N,0.0,20.0,1
84,506,France,Female,34.0,4,90307.62,1,1.0,1.0,159235.29,0,2064,10.0,FranceFemale,Y,1.0,10.0,1
85,493,France,Female,46.0,4,0.0,2,1.0,0.0,1907.66,0,208,20.0,FranceFemale,N,0.0,40.0,2
86,652,Spain,Female,75.0,10,0.0,2,1.0,1.0,114675.75,0,1906,,SpainFemale,N,2.0,,20
87,750,Spain,Male,22.0,3,121681.82,1,1.0,0.0,128643.35,1,965,0.0,SpainMale,Y,0.0,0.0,14
88,729,France,Male,30.0,9,0.0,2,1.0,0.0,151869.35,0,2321,10.0,FranceMale,N,0.0,20.0,1
89,646,France,Female,46.0,4,0.0,3,1.0,0.0,93251.42,1,2417,20.0,FranceFemale,N,0.0,60.0,2
90,635,Germany,Female,28.0,3,81623.67,2,1.0,1.0,156791.36,0,2067,0.0,GermanyFemale,Y,2.0,0.0,7
91,647,Spain,Female,44.0,5,0.0,3,1.0,1.0,174205.22,1,1147,20.0,SpainFemale,N,3.0,60.0,16
92,808,France,Male,45.0,7,118626.55,2,1.0,0.0,147132.46,0,2287,20.0,FranceMale,Y,0.0,40.0,2
93,524,France,Female,36.0,10,0.0,2,1.0,0.0,109614.57,0,586,10.0,FranceFemale,N,0.0,20.0,1
94,769,France,Male,29.0,8,0.0,2,1.0,1.0,172290.61,0,403,0.0,FranceMale,N,2.0,0.0,0
95,730,Spain,Male,42.0,4,0.0,2,0.0,1.0,85982.47,0,403,20.0,SpainMale,N,2.0,40.0,16
96,515,Spain,Male,35.0,10,176273.95,1,0.0,1.0,121277.78,0,887,10.0,SpainMale,Y,1.0,10.0,15
97,773,Spain,Male,41.0,9,102827.44,1,0.0,1.0,64595.25,0,1046,20.0,SpainMale,Y,1.0,20.0,16
98,814,Germany,Male,29.0,8,97086.4,2,1.0,1.0,197276.13,0,2903,0.0,GermanyMale,Y,2.0,0.0,7
99,710,Spain,Male,22.0,8,0.0,2,0.0,0.0,99645.04,0,61,0.0,SpainMale,N,0.0,0.0,14
100,413,France,Male,34.0,9,0.0,2,0.0,0.0,6534.18,0,852,10.0,FranceMale,N,0.0,20.0,1
101,665,France,Female,40.0,6,0.0,1,1.0,1.0,161848.03,0,942,20.0,FranceFemale,N,1.0,20.0,2
102,623,France,Female,44.0,6,0.0,2,0.0,0.0,167162.43,0,1250,20.0,FranceFemale,N,0.0,40.0,2
103,738,France,Male,31.0,9,82674.15,1,1.0,0.0,41970.72,0,1250,10.0,FranceMale,Y,0.0,10.0,1
104,528,Spain,Male,36.0,7,0.0,2,1.0,0.0,60536.56,0,311,10.0,SpainMale,N,0.0,20.0,15
105,670,Spain,Female,65.0,1,0.0,1,1.0,1.0,177655.68,1,763,40.0,SpainFemale,N,1.0,40.0,18
106,622,Spain,Female,46.0,4,107073.27,2,1.0,1.0,30984.59,1,1705,20.0,SpainFemale,Y,2.0,40.0,16
107,582,Germany,Male,32.0,1,88938.62,1,1.0,1.0,10054.53,0,2525,10.0,GermanyMale,Y,1.0,10.0,8
108,785,Germany,Female,36.0,2,99806.85,1,0.0,1.0,36976.52,0,2122,10.0,GermanyFemale,Y,1.0,10.0,8
109,605,Spain,Male,33.0,5,150092.8,1,0.0,0.0,71862.79,0,2752,10.0,SpainMale,Y,0.0,10.0,15
110,479,Germany,Male,35.0,9,92833.89,1,1.0,0.0,99449.86,1,2568,10.0,GermanyMale,Y,0.0,10.0,8
111,685,Germany,Male,30.0,3,90536.81,1,0.0,1.0,63082.88,0,817,10.0,GermanyMale,Y,1.0,10.0,8
112,538,Germany,Male,39.0,7,108055.1,2,1.0,0.0,27231.26,0,2322,10.0,GermanyMale,Y,0.0,20.0,8
113,562,France,Male,42.0,2,100238.35,1,0.0,0.0,86797.41,0,2597,20.0,FranceMale,Y,0.0,20.0,2
114,675,Spain,Male,36.0,9,106190.55,1,0.0,1.0,22994.32,0,490,10.0,SpainMale,Y,1.0,10.0,15
115,721,Germany,Male,28.0,9,154475.54,2,0.0,1.0,101300.94,1,852,0.0,GermanyMale,Y,2.0,0.0,7
116,628,Germany,Female,30.0,9,132351.29,2,1.0,1.0,74169.13,0,1429,10.0,GermanyFemale,Y,2.0,20.0,8
117,668,Germany,Female,37.0,6,167864.4,1,1.0,0.0,115638.29,0,2788,10.0,GermanyFemale,Y,0.0,10.0,8
118,506,France,Female,41.0,1,0.0,2,1.0,0.0,31766.3,0,764,20.0,FranceFemale,N,0.0,40.0,2
119,524,Germany,Female,31.0,8,107818.63,1,1.0,0.0,199725.39,1,481,10.0,GermanyFemale,Y,0.0,10.0,8
120,699,Germany,Male,34.0,4,185173.81,2,1.0,0.0,120834.48,0,2857,10.0,GermanyMale,Y,0.0,20.0,8
121,828,France,Male,34.0,8,129433.34,2,0.0,0.0,38131.77,0,647,10.0,FranceMale,Y,0.0,20.0,1
122,674,Spain,Male,39.0,6,120193.42,1,0.0,0.0,100130.95,0,1388,10.0,SpainMale,Y,0.0,10.0,15
123,656,France,Female,39.0,6,0.0,2,1.0,0.0,141069.88,0,396,10.0,FranceFemale,N,0.0,20.0,1
124,684,Germany,Female,48.0,10,126384.42,1,1.0,1.0,198129.36,0,392,20.0,GermanyFemale,Y,1.0,20.0,9
125,625,France,Female,28.0,3,0.0,1,0.0,0.0,183646.41,0,2913,0.0,FranceFemale,N,0.0,0.0,0
126,432,France,Male,42.0,9,152603.45,1,1.0,0.0,110265.24,1,944,20.0,FranceMale,Y,0.0,20.0,2
127,549,France,Female,52.0,1,0.0,1,0.0,1.0,8636.05,1,1623,30.0,FranceFemale,N,1.0,30.0,3
128,625,Germany,Male,56.0,0,148507.24,1,1.0,0.0,46824.08,1,2167,30.0,GermanyMale,Y,0.0,30.0,10
129,828,France,Female,41.0,7,0.0,2,1.0,0.0,171378.77,0,1388,20.0,FranceFemale,N,0.0,40.0,2
130,770,France,Male,24.0,9,101827.07,1,1.0,0.0,167256.35,0,875,0.0,FranceMale,Y,0.0,0.0,0
131,758,France,Female,34.0,3,0.0,2,1.0,1.0,124226.16,0,1146,10.0,FranceFemale,N,2.0,20.0,1
132,795,Germany,Female,33.0,9,130862.43,1,1.0,1.0,114935.21,0,1363,10.0,GermanyFemale,Y,1.0,10.0,8
133,687,France,Male,38.0,9,122570.87,1,1.0,1.0,35608.88,0,576,10.0,FranceMale,Y,1.0,10.0,1
134,686,France,Male,25.0,1,0.0,2,0.0,1.0,16459.37,0,46,0.0,FranceMale,N,2.0,0.0,0
135,789,Germany,Male,39.0,7,124828.46,2,1.0,1.0,124411.08,0,521,10.0,GermanyMale,Y,2.0,20.0,8
136,589,Germany,Female,50.0,5,144895.05,2,1.0,1.0,34941.23,0,114,30.0,GermanyFemale,Y,2.0,60.0,10
137,461,Germany,Female,34.0,5,63663.93,1,0.0,1.0,167784.28,0,1549,10.0,GermanyFemale,Y,1.0,10.0,8
138,637,France,Male,40.0,2,133463.1,1,0.0,1.0,93165.34,0,1621,20.0,FranceMale,Y,1.0,20.0,2
139,584,Spain,Female,48.0,2,213146.2,1,1.0,0.0,75161.25,1,464,20.0,SpainFemale,Y,0.0,20.0,16
140,579,Spain,Female,35.0,1,129490.36,2,0.0,1.0,8590.83,1,2716,10.0,SpainFemale,Y,2.0,20.0,15
141,756,Germany,Male,44.0,10,137452.09,1,1.0,0.0,189543.9,0,1074,20.0,GermanyMale,Y,0.0,20.0,9
142,663,France,Male,34.0,7,0.0,2,1.0,1.0,180427.24,0,2601,10.0,FranceMale,N,2.0,20.0,1
143,682,France,Female,43.0,5,125851.93,1,1.0,1.0,193318.33,0,919,20.0,FranceFemale,Y,1.0,20.0,2
144,793,Spain,Male,52.0,2,0.0,1,1.0,0.0,159123.82,1,1061,30.0,SpainMale,N,0.0,30.0,17
145,691,France,Female,31.0,5,40915.55,1,1.0,0.0,126213.84,1,2582,10.0,FranceFemale,Y,0.0,10.0,1
146,485,Spain,Female,21.0,5,113157.22,1,1.0,1.0,54141.5,0,1654,0.0,SpainFemale,Y,1.0,0.0,14
147,635,Spain,Female,29.0,8,138296.94,2,1.0,0.0,141075.51,0,224,0.0,SpainFemale,Y,0.0,0.0,14
148,650,France,Male,37.0,5,106967.18,1,0.0,0.0,24495.03,0,2032,10.0,FranceMale,Y,0.0,10.0,1
149,735,France,Male,44.0,9,120681.63,1,1.0,0.0,74836.34,0,546,20.0,FranceMale,Y,0.0,20.0,2
150,416,France,Male,32.0,0,0.0,2,0.0,1.0,878.87,0,1123,10.0,FranceMale,N,2.0,20.0,1
151,754,Spain,Female,32.0,7,0.0,2,1.0,0.0,89520.75,0,1849,10.0,SpainFemale,N,0.0,20.0,15
152,535,France,Female,48.0,9,0.0,1,1.0,0.0,149892.79,1,52,20.0,FranceFemale,N,0.0,20.0,2
153,716,Spain,Male,42.0,8,0.0,2,1.0,0.0,180800.42,0,1793,20.0,SpainMale,N,0.0,40.0,16
154,539,France,Male,37.0,2,127609.59,1,1.0,0.0,98646.22,0,1249,10.0,FranceMale,Y,0.0,10.0,1
155,614,France,Female,43.0,6,0.0,2,1.0,1.0,109041.53,0,1812,20.0,FranceFemale,N,2.0,40.0,2
156,706,Spain,Male,57.0,7,0.0,1,1.0,0.0,17941.16,1,532,30.0,SpainMale,N,0.0,30.0,17
157,758,France,Female,33.0,7,0.0,2,0.0,0.0,82996.47,0,1549,10.0,FranceFemale,N,0.0,20.0,1
158,586,Spain,Female,28.0,2,0.0,2,1.0,1.0,92067.35,0,566,0.0,SpainFemale,N,2.0,0.0,14
159,646,France,Female,73.0,6,97259.25,1,0.0,1.0,104719.66,0,1642,,FranceFemale,Y,1.0,,6
160,631,Germany,Female,33.0,4,123246.7,1,0.0,0.0,112687.57,0,499,10.0,GermanyFemale,Y,0.0,10.0,8
161,717,Spain,Female,22.0,6,101060.25,1,0.0,1.0,84699.56,0,2822,0.0,SpainFemale,Y,1.0,0.0,14
162,684,France,Male,30.0,2,0.0,2,1.0,0.0,83473.82,0,2786,10.0,FranceMale,N,0.0,20.0,1
163,800,France,Female,49.0,7,108007.36,1,0.0,0.0,47125.11,0,2636,20.0,FranceFemale,Y,0.0,20.0,2
164,721,Spain,Female,36.0,2,0.0,2,1.0,1.0,106977.8,0,1237,10.0,SpainFemale,N,2.0,20.0,15
165,683,Spain,Male,29.0,0,133702.89,1,1.0,0.0,55582.54,1,2581,0.0,SpainMale,Y,0.0,0.0,14
166,660,Germany,Male,31.0,9,125189.75,2,1.0,1.0,139874.43,0,2434,10.0,GermanyMale,Y,2.0,20.0,8
167,704,Germany,Female,24.0,7,113034.22,1,1.0,0.0,162503.48,1,2580,0.0,GermanyFemale,Y,0.0,0.0,7
168,615,Spain,Female,41.0,9,109013.23,1,1.0,0.0,196499.96,0,2297,20.0,SpainFemale,Y,0.0,20.0,16
169,667,Spain,Female,39.0,2,0.0,2,1.0,0.0,40721.24,1,2173,10.0,SpainFemale,N,0.0,20.0,15
170,682,Germany,Male,24.0,9,57929.81,2,0.0,0.0,53134.3,0,2846,0.0,GermanyMale,Y,0.0,0.0,7
171,484,France,Female,29.0,4,130114.39,1,1.0,0.0,164017.89,0,1134,0.0,FranceFemale,Y,0.0,0.0,0
172,628,Germany,Male,27.0,5,95826.49,2,1.0,0.0,155996.96,0,2549,0.0,GermanyMale,Y,0.0,0.0,7
173,480,Germany,Male,44.0,10,129608.57,1,1.0,0.0,5472.7,1,2896,20.0,GermanyMale,Y,0.0,20.0,9
174,578,France,Male,30.0,4,169462.09,1,1.0,0.0,112187.11,0,2607,10.0,FranceMale,Y,0.0,10.0,1
175,512,France,Male,40.0,5,0.0,2,1.0,1.0,146457.83,0,2319,20.0,FranceMale,N,2.0,40.0,2
176,484,Spain,Female,35.0,7,133868.21,1,1.0,1.0,27286.1,0,942,10.0,SpainFemale,Y,1.0,10.0,15
177,510,France,Female,30.0,0,0.0,2,1.0,1.0,130553.47,0,1183,10.0,FranceFemale,N,2.0,20.0,1
178,606,Germany,Male,36.0,5,190479.48,2,0.0,0.0,179351.89,0,2017,10.0,GermanyMale,Y,0.0,20.0,8
179,597,Spain,Female,40.0,8,101993.12,1,0.0,1.0,94774.12,0,398,20.0,SpainFemale,Y,1.0,20.0,16
180,754,Germany,Female,55.0,3,161608.81,1,1.0,0.0,8080.85,1,117,30.0,GermanyFemale,Y,0.0,30.0,10
181,850,Spain,Female,45.0,2,122311.21,1,1.0,1.0,19482.5,0,2326,20.0,SpainFemale,Y,1.0,20.0,16
182,510,France,Male,65.0,2,0.0,2,1.0,1.0,48071.61,0,1230,40.0,FranceMale,N,2.0,80.0,4
183,778,Germany,Female,45.0,1,162150.42,2,1.0,0.0,174531.27,0,2009,20.0,GermanyFemale,Y,0.0,40.0,9
184,636,France,Male,42.0,2,0.0,2,1.0,1.0,55470.78,0,2568,20.0,FranceMale,N,2.0,40.0,2
185,804,France,Female,50.0,4,0.0,1,1.0,1.0,8546.87,1,576,30.0,FranceFemale,N,1.0,30.0,3
186,514,France,Male,32.0,8,0.0,2,1.0,0.0,95857.18,0,451,10.0,FranceMale,N,0.0,20.0,1
187,730,France,Female,39.0,1,99010.67,1,1.0,0.0,194945.8,0,2569,10.0,FranceFemale,Y,0.0,10.0,1
188,525,Spain,Female,37.0,0,0.0,1,0.0,1.0,131521.72,0,916,10.0,SpainFemale,N,1.0,10.0,15
189,616,Spain,Male,30.0,5,0.0,2,0.0,1.0,196108.51,0,1686,10.0,SpainMale,N,2.0,20.0,15
190,687,Germany,Female,34.0,7,111388.18,2,1.0,0.0,148564.76,0,2656,10.0,GermanyFemale,Y,0.0,20.0,8
191,715,France,Female,41.0,8,56214.85,2,0.0,0.0,92982.61,1,2054,20.0,FranceFemale,Y,0.0,40.0,2
192,512,France,Female,36.0,3,84327.77,2,1.0,0.0,17675.36,0,1046,10.0,FranceFemale,Y,0.0,20.0,1
193,479,France,Male,40.0,1,0.0,2,0.0,0.0,114996.43,0,1025,20.0,FranceMale,N,0.0,40.0,2
194,601,France,Male,32.0,8,93012.89,1,1.0,0.0,86957.42,0,2204,10.0,FranceMale,Y,0.0,10.0,1
195,580,Spain,Male,29.0,9,61710.44,2,1.0,0.0,128077.8,0,633,0.0,SpainMale,Y,0.0,0.0,14
196,807,France,Male,35.0,3,174790.15,1,1.0,1.0,600.36,0,48,10.0,FranceMale,Y,1.0,10.0,1
197,616,Spain,Female,32.0,6,0.0,2,1.0,1.0,43001.46,0,1841,10.0,SpainFemale,N,2.0,20.0,15
198,721,Germany,Male,37.0,3,107720.64,1,1.0,1.0,158591.12,0,2359,10.0,GermanyMale,Y,1.0,10.0,8
199,501,France,Male,57.0,10,0.0,2,1.0,1.0,47847.19,0,1322,30.0,FranceMale,N,2.0,60.0,3
200,521,France,Male,35.0,6,96423.84,1,1.0,0.0,10488.44,0,2739,10.0,FranceMale,Y,0.0,10.0,1
201,850,Spain,Male,30.0,2,141040.01,1,1.0,1.0,5978.2,0,492,10.0,SpainMale,Y,1.0,10.0,15
202,759,France,Male,42.0,4,105420.18,1,0.0,1.0,121409.06,0,1348,20.0,FranceMale,Y,1.0,20.0,2
203,516,Spain,Male,50.0,5,0.0,1,0.0,1.0,146145.93,1,1146,30.0,SpainMale,N,1.0,30.0,17
204,711,France,Female,38.0,2,129022.06,2,1.0,1.0,14374.86,1,2045,10.0,FranceFemale,Y,2.0,20.0,1
205,512,Spain,Male,33.0,3,176666.62,1,1.0,0.0,94670.77,0,1005,10.0,SpainMale,Y,0.0,10.0,15
206,550,France,Male,37.0,3,0.0,1,1.0,1.0,179670.31,0,1460,10.0,FranceMale,N,1.0,10.0,1
207,608,Spain,Female,41.0,3,89763.84,1,0.0,0.0,199304.74,1,1736,20.0,SpainFemale,Y,0.0,20.0,16
208,618,France,Male,34.0,5,134954.53,1,1.0,1.0,151954.39,0,593,10.0,FranceMale,Y,1.0,10.0,1
209,643,France,Male,45.0,5,0.0,1,1.0,0.0,142513.5,1,1082,20.0,FranceMale,N,0.0,20.0,2
210,671,France,Male,45.0,2,106376.85,1,0.0,1.0,158264.62,0,715,20.0,FranceMale,Y,1.0,20.0,2
211,689,Germany,Male,33.0,2,161814.64,2,1.0,0.0,169381.9,0,2646,10.0,GermanyMale,Y,0.0,20.0,8
212,603,France,Male,31.0,8,0.0,2,1.0,1.0,169915.02,0,2574,10.0,FranceMale,N,2.0,20.0,1
213,620,France,Female,41.0,9,0.0,2,0.0,0.0,88852.47,0,1009,20.0,FranceFemale,N,0.0,40.0,2
214,676,France,Female,34.0,1,63095.01,1,1.0,1.0,40645.81,0,1808,10.0,FranceFemale,Y,1.0,10.0,1
215,572,Germany,Male,26.0,4,118287.01,2,0.0,0.0,60427.3,0,1441,0.0,GermanyMale,Y,0.0,0.0,7
216,668,Germany,Male,47.0,7,106854.21,1,0.0,1.0,157959.02,1,2775,20.0,GermanyMale,Y,1.0,20.0,9
